id,SSU_49870,SSU_49871,SSU_49872,SSU_65981,SSU_65982,SSU_65983,SSU_65984,SSU_65985,SSU_65986
GTF2A1L,0,0,3,0,0,0,0,0,0
GTF2A2,1256,1230,771,229,260,488,365,262,326
GTF2B,1215,958,322,173,223,137,347,293,126
GTF2E1,742,239,646,46,52,90,74,44,88
GTF2E2,848,603,162,124,61,112,172,103,134
GTF2F1,74,45,66,152,162,152,256,275,160
GTF2F2,1273,700,237,75,85,84,159,104,75
GTF2H1,1605,1656,896,201,234,290,356,348,274
GTF2H2,0,0,0,0,0,0,0,0,0
GTF2H2B,0,1,5,0,0,0,0,0,0
GTF2H2C,0,0,2,0,0,0,0,0,0
GTF2H2C_2,0,0,0,0,0,0,0,0,0
GTF2H3,2,1,62,0,0,1,0,0,0
GTF2H4,531,279,147,38,48,94,73,47,51
GTF2H5,28,26,78,2,0,2,4,4,5
GTF2I,554,468,663,82,71,249,97,83,251
GTF2IP1,26,70,57,3,4,19,4,3,18
GTF2IP20,3,0,40,0,0,0,0,0,0
GTF2IP4,0,0,0,0,0,0,0,0,0
GTF2IRD1,25,16,143,6,5,20,18,6,7
GTF2IRD1P1,4,1,37,0,0,0,0,0,0
GTF2IRD2,2,1,29,0,0,0,0,0,1
GTF2IRD2B,1,0,52,0,0,0,0,0,0
GTF3A,2,1,32,1,5,4,13,6,5
GTF3C1,39,37,177,36,67,65,73,96,92
GTF3C2,2418,1913,1604,223,303,382,365,272,368
GTF3C2-AS1,1,0,2,0,0,0,0,0,0
GTF3C3,2569,1381,1716,120,110,320,162,130,271
GTF3C4,531,174,235,21,17,46,33,40,47
GTF3C5,12,5,59,1,6,2,1,10,5
GTF3C6,2,0,13,1,2,3,3,1,11
GTPBP1,4502,3423,2287,196,219,340,372,329,329
GTPBP10,6,0,110,3,0,2,1,4,1
GTPBP2,2132,2758,1130,214,305,331,241,273,286
GTPBP3,2,1,48,0,0,0,0,0,3
GTPBP4,718,442,435,141,149,283,248,185,241
GTPBP6,0,0,52,0,0,0,0,0,0
GTPBP8,28,11,68,11,8,21,8,17,16
GTSCR1,1,1,11,0,0,0,0,0,0
GTSE1,1,3,67,0,1,0,3,0,0
GTSE1-AS1,0,1,16,0,0,0,0,0,1
GTSF1,132,7,30,0,0,0,1,1,0
GTSF1L,2,0,6,0,0,0,0,0,0
GUCA1A,1,0,30,0,0,0,0,0,0
GUCA1B,3,0,34,0,0,0,0,0,2
GUCA1C,1,0,19,0,0,0,0,0,0
GUCA2A,0,0,16,0,0,0,0,0,0
GUCA2B,0,1,22,0,0,0,0,0,0
GUCD1,81,137,232,17,12,75,35,34,51
GUCY1A2,7,5,181,0,0,0,2,4,0
GUCY1A3,10,8,131,0,0,0,1,3,0
GUCY1B2,1,0,72,0,0,0,0,0,0
GUCY1B3,7,14,78,0,1,0,10,6,1
GUCY2C,4,7,108,0,0,1,2,0,0
GUCY2D,4,2,69,0,0,0,0,0,0
GUCY2EP,3,1,68,0,0,0,0,0,0
GUCY2F,3,4,79,0,0,0,0,0,0
GUCY2GP,2,3,90,1,2,0,0,0,0
GUF1,238,51,133,22,31,49,27,46,73
GUK1,0,2,27,0,0,0,0,2,1
GULP1,7,1,78,0,1,0,3,6,0
GUSB,7,1,57,1,0,2,0,3,1
GUSBP1,1,2,112,0,0,0,0,0,0
GUSBP10,2,0,27,0,0,0,0,0,0
GUSBP11,1,0,68,0,0,1,0,0,0
GUSBP2,3,2,32,0,0,0,0,0,0
GUSBP3,0,0,13,0,0,0,0,0,0
GUSBP4,5,2,58,0,0,0,0,0,0
GUSBP5,1,3,24,0,0,0,0,0,0
GUSBP9,0,0,14,0,0,0,0,0,0
GVINP1,306,295,437,664,683,1077,378,818,2085
GXYLT1,92,109,133,30,90,23,46,83,27
GXYLT1P3,1,0,16,0,0,0,0,0,0
GXYLT2,1,0,30,0,0,0,0,0,0
GYG1,317,339,219,36,35,72,94,54,58
GYG2,0,1,60,0,0,0,0,0,0
GYG2P1,0,0,0,0,0,0,0,0,0
GYLTL1B,1,1,70,3,0,0,0,0,1
GYPA,3,1,38,0,0,0,0,0,0
GYPB,1,0,20,0,0,0,0,0,0
GYPC,1,0,39,0,1,0,0,0,0
GYPE,1,1,28,0,0,0,0,0,0
GYS1,10,18,88,10,1,6,2,0,10
GYS2,2,2,69,0,0,0,0,0,0
GZF1,156,20,196,12,10,32,32,22,17
GZMA,2,0,30,62,16,1,32,45,0
GZMB,1,0,20,21,19,0,24,12,1
GZMH,2,0,25,1,4,0,6,2,0
GZMK,3,0,17,2,2,0,2,3,0
GZMM,2,0,24,0,0,0,1,1,0
H19,0,0,2,0,0,0,0,0,0
H1F0,559,655,72,87,80,27,118,102,7
H1FNT,1,0,24,0,0,0,1,0,0
H1FOO,0,0,27,0,0,0,0,0,0
H1FX,2,2,18,1,0,0,1,0,0
H1FX-AS1,1,0,29,0,0,0,0,0,0
H2AFB1,0,0,0,0,0,0,0,0,0
H2AFB2,0,0,0,0,0,0,0,0,0
H2AFB3,0,0,0,0,0,0,0,0,0
H2AFJ,343,177,132,77,68,100,112,65,56
H2AFV,579,526,300,72,57,119,125,107,74
H2AFX,22570,10697,1679,197,160,132,335,188,79
H2AFY,2130,1255,816,180,187,305,314,226,307
H2AFY2,342,118,66,9,4,8,12,7,7
H2AFZ,265057,141507,18969,19556,16164,8914,40133,21114,7836
H2BFM,0,0,22,0,0,0,0,0,0
H2BFWT,1,0,22,0,0,0,0,0,0
H2BFXP,0,0,0,0,0,0,0,0,0
H3F3A,0,0,1,0,0,0,0,0,0
H3F3AP4,3325,2585,1572,350,336,802,557,373,510
H3F3B,117403,148781,26231,22325,37023,13247,36915,35470,16566
H3F3C,4384,6041,887,1178,2038,691,2213,2184,935
H6PD,20,6,124,7,11,25,6,12,14
HAAO,1,6,55,3,1,6,0,6,7
HABP2,1,2,76,0,0,0,0,0,0
HABP4,46,14,54,4,2,8,1,3,2
HACD1,1,1,30,0,0,2,2,2,0
HACD2,2017,2514,596,274,363,262,354,288,160
HACD3,193,181,100,32,29,26,71,67,15
HACD4,1,0,33,0,0,0,2,1,2
HACE1,1949,1518,1140,132,223,277,160,248,199
HACL1,6,4,61,0,1,3,2,1,7
HADH,2,0,48,2,0,1,0,0,1
HADHA,330,364,245,54,57,57,74,78,63
HADHB,2650,2132,1431,224,320,393,399,405,385
HAGH,2,1,27,0,4,3,1,0,4
HAGHL,0,0,23,0,0,0,0,0,0
HAGLR,2,1,42,0,0,0,0,0,0
HAGLROS,0,0,4,0,0,0,0,0,0
HAL,2,2,76,0,0,0,0,1,2
HAMP,0,0,13,0,0,0,0,0,0
HAND1,1,0,24,0,0,0,0,0,0
